Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
144,Here on Earth,"1,08,73,148","1,05,22,168",96.80%,"3,50,980",3.20%,2000
145,Pollock,"1,05,58,970","85,98,593",81.40%,"19,60,377",18.60%,2000
146,Anatomy,"1,05,01,958","9,660",<0.1%,"1,04,92,298",99.90%,2000
147,The Virgin Suicides,"1,04,09,377","49,06,229",47.10%,"55,03,148",52.90%,2000
148,Woman on Top,"1,01,94,274","50,20,111",49.20%,"51,74,163",50.80%,2000
149,Godzilla 2000,"1,00,37,390","1,00,37,390",100%,0,0,2000
150,Whatever It Takes,"99,02,115","87,45,680",88.30%,"11,56,435",11.70%,2000
151,3 Strikes,"98,32,166","98,32,166",100%,0,0,2000
152,Bread and Tulips,"97,19,848","53,18,679",54.70%,"44,01,169",45.30%,2000
153,Ghost Dog: The Way of the Samurai,"93,80,473","33,08,029",35.30%,"60,72,444",64.70%,2000
154,State and Main,"92,06,279","69,44,471",75.40%,"22,61,808",24.60%,2000
155,Before Night Falls,"85,27,517","42,42,892",49.80%,"42,84,625",50.20%,2000
156,Butterfly,"77,33,894","20,92,682",27.10%,"56,41,212",72.90%,2000
157,Ants in the Pants,"76,25,967",0,0,"76,25,967",100%,2000
158,Requiem for a Dream,"73,90,108","36,35,482",49.20%,"37,54,626",50.80%,2000
159,Where the Money Is,"72,43,669","56,61,798",78.20%,"15,81,871",21.80%,2000
160,Screwed,"72,01,701","70,27,345",97.60%,"1,74,356",2.40%,2000
161,Widow of St. Pierre,"71,93,889","31,93,889",44.40%,"40,00,000",55.60%,2000
162,Croupier,"70,75,068","62,01,143",87.60%,"8,73,925",12.40%,2000
163,Duets,"66,20,242","47,39,023",71.60%,"18,81,219",28.40%,2000
164,Now or Never,"59,95,963",0,0,"59,95,963",100%,2000
165,Black & White,"55,41,431","52,77,299",95.20%,"2,64,132",4.80%,2000
166,The in Crowd,"52,80,035","52,80,035",100%,0,0,2000
167,The House of Mirth,"51,64,404","30,43,284",58.90%,"21,21,120",41.10%,2000
168,Otto 0 Der Katastrofenfilm,"50,58,355",0,0,"50,58,355",100%,2000
169,Whipped,"47,75,009","41,59,986",87.10%,"6,15,023",12.90%,2000
170,Held Up,"47,05,631","47,05,631",100%,0,0,2000
171,The Jungle Book 2000 Re0release,"44,66,472",0,0,"44,66,472",100%,2000
